tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
80,MDL Philippines Season 2,B,20230829,20231022,1.8.08,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_2,20231230,80_MDL Philippines Season 2.csv
81,Piala Presiden Esports 2023,B,20230929,20231022,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023,20231230,81_Piala Presiden Esports 2023.csv
82,Malaysia Esports League 2023,B,20231021,20231022,1.8.22,https://liquipedia.net/mobilelegends/Malaysia_Esports_League/2023,20231230,82_Malaysia Esports League 2023.csv
83,Johor All Star Esports Championship 2023,B,20231020,20231022,1.8.22,https://liquipedia.net/mobilelegends/Johor_All_Star_Esports_Championship/2023,20231230,83_Johor All Star Esports Championship 2023.csv
84,Piala Presiden Esports 2023 Women,B,20230903,20231021,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023/Women,20231230,84_Piala Presiden Esports 2023 Women.csv
85,MTC Turkiye Championship Season 2,B,20230826,20231015,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2,20231230,85_MTC Turkiye Championship Season 2.csv
86,MPL Cambodia Autumn 2023,B,20230812,20231008,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Autumn,20231230,86_MPL Cambodia Autumn 2023.csv
87,MLBB Continental Championships Season 2,B,20230812,20231008,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_2,20231230,87_MLBB Continental Championships Season 2.csv
88,North America Challenger Tournament Fall 2023,B,20230805,20231001,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/NACT/2023/Fall,20231230,88_North America Challenger Tournament Fall 2023.csv
89,ESN National Championship 2023,B,20230911,20231001,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/ESN/National_Championship/2023,20231230,89_ESN National Championship 2023.csv
90,Piala Ketum Kadin Esports 2023,B,20230901,20230924,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Piala_Ketum_Kadin_Esports/2023,20231230,90_Piala Ketum Kadin Esports 2023.csv
91,Liga Esports National 2023 - Liga 2,B,20230825,20230924,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/2,20231230,91_Liga Esports National 2023 - Liga 2.csv
92,M Challenge Cup Mekong Season 2,B,20230805,20230923,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/M_Challenge_Cup/Mekong/Season_2,20231230,92_M Challenge Cup Mekong Season 2.csv
93,Unipin Ladies Series Season 3,B,20230807,20230910,,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_3,20231230,93_Unipin Ladies Series Season 3.csv
94,WOWNOW & Prince Mall League Season 2,B,20230809,20230903,1.8.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_2,20231230,94_WOWNOW & Prince Mall League Season 2.csv
95,MLBB LATAM Super League South Season 3,B,20230701,20230827,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_3,20231230,95_MLBB LATAM Super League South Season 3.csv
96,MPL Brazil Season 5,B,20230708,20230826,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5,20231230,96_MPL Brazil Season 5.csv
97,MLBB LATAM Super League North Season 2,B,20230701,20230820,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_2,20231230,97_MLBB LATAM Super League North Season 2.csv
98,MTC Turkiye Championship Season 2,B,20230812,20230813,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_2,20231230,98_MTC Turkiye Championship Season 2.csv
99,MTC Turkiye Championship Season 2,B,20230805,20230806,,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_1,20231230,99_MTC Turkiye Championship Season 2.csv
100,WSL Season 7,B,20230630,20230730,,https://liquipedia.net/mobilelegends/WSL/Season_7,20231230,100_WSL Season 7.csv
101,World Cyber Games 2023,B,20230603,20230730,,https://liquipedia.net/mobilelegends/World_Cyber_Games/2023,20231230,101_World Cyber Games 2023.csv
102,Juicy Legends Tournament 2023 Q2 Pro Division,B,20230623,20230730,,https://liquipedia.net/mobilelegends/Juicy_Legends_Tournament/2023/Q2/Pro,20231230,102_Juicy Legends Tournament 2023 Q2 Pro Division.csv
103,Phygital Games #9,B,20230720,20230723,1.7.94,https://liquipedia.net/mobilelegends/Phygital_Games/9,20231230,103_Phygital Games #9.csv
